Champion,Cost,Role,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Apply,Spawn,Motion,Behavior,Shape,Aim Target,Offset,AOE (hex),Skill Range,Count,Spread,Collision (If it have one),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s),Cast (s)
Maokai,1 Gold,Tank,Shadow Isles,,Bastion,,1,Mana-Leeching Healing Tank,"Sap Magic: Passive: Whenever an enemy casts an Ability, gain 5 Mana. Active: On his next attack, heal for 220/260/300% Ability Power.",0,Passive,On Enemy Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Mana,5,—,—,Once,—,—
,,,,,,,,,,1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Empowered Attack (Maokai),220/260/300% AP,—,—,Once,—,—
Kalista,3 Gold,Carry,Shadow Isles,,Challenger,,4,Spear-Stacking Executioner,"Passive: Attacks impale a spear in the target, which deals 18/27/45% Ability Power true damage when removed. Kalista rips the spears out if it would kill the target. Active: Impale 6 spears in the current target.",0.1,Passive,On Attack,—,Self,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Status,Impale,—,Stacking,stacking,Once,Permanent,—
,,,,,,,,,,0.2,Passive,On Spears Lethal,—,Self,DirectApply,—,—,—,—,Current,—,—,4,—,—,None,Same to Aim Target,Attack,True Damage,18/27/45% AP,Per Stack,per spear removed,Once,—,—
,,,,,,,,,,1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Status,Impale,6 spears,—,—,Once,—,—
Gwen,4 Gold,Carry,Shadow Isles,,Slayer,,2,Dashing Cone Slayer,"Dash around the current target and snip 3 times in a cone, each dealing 100/150/400% Ability Power magic damage to enemies hit. Every 3 casts, gain 120/120/300 Armor and Magic Resist for 3/3/5 seconds.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Current,—,—,2,—,—,None,Self,Movement,(reposition),—,—,—,Once,—,—
,,,,,,,,,,2,Active,After Leap,—,Self,Hitbox,at-User,Arc,—,box,Current,—,"4 (1 hex at range 1, 3 at range 2)",2,3,Same target,Pierce-All,Enemies in area,Attack,Damage,100/150/400% AP,—,—,Once,—,—
,,,,,,,,,,0,Passive,On 3rd Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,2,—,—,None,Same to Aim Target,Buff,Armor,120/120/300,—,—,Once,3/3/5,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,MR,120/120/300,—,—,Once,3/3/5,—
Senna,5 Gold,Support,Redeemer,Shadow Isles,Gunner,,4,Board-Wide Beam Support,"Fire a massive beam at the furthest enemy, dealing 235/250/2000% Attack Damage physical damage to all enemies hit. Any allies hit gain 200/275/4000% Ability Power Shield for 4/4/15 seconds.",1,Active,On Cast,—,Self,Hitbox,at-User,—,—,box,Farthest,—,—,4,1,—,Pierce-All,Enemies in path,Attack,Damage,235/250/2000% AD,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Allies in path,Buff,Shield,200/275/4000% AP,—,—,Once,4/4/15,—
Soraka,2 Gold,Support,Targon,,Invoker,,4,Star-Fall Healer,"Heal the lowest health ally for 140/160/180% Ability Power. If the ally is below 50% Health, heal them for an additional 140/160/180% Ability Power. Over the next 5 seconds, 5 stars hit the enemy closest to them. Each deals 120/180/280% Ability Power magic damage.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Lowest-HP Ally,—,—,4,—,—,None,Same to Aim Target,Buff,Heal,140/160/180% AP,—,—,Once,—,—
,,,,,,,,,,,,,If Ally Below 50% HP,,,,,,,,,,,,,,Same to Aim Target,Buff,Heal,140/160/180% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Child of the Star,—,—,—,Once,5,—
,,,,,,,,,,,,On Cast,—,Child of the Star,Hitbox,at-User,Projectile,Homing,1-hex,Nearest enemy to owner,—,—,4,1,—,Target-Only,Aimed enemy,Attack,Damage,120/180/280% AP,—,—,Every 0.5s,5,—
Taric,3 Gold,Tank,Targon,,Bastion,Sorcerer,1,Damage-Redirecting Shield Tank,Gain 500/580/680% Ability Power Shield for 4 seconds. It redirects 50% of the damage received by adjacent allies.,1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Shield,500/580/680% AP,—,—,Once,4,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Adjacent allies (left & right),Buff,Damage Redirect,50%,—,—,Once,4,—
Aphelios,4 Gold,Carry,Targon,,Deadeye,,4,Chakram-Stacking Moon Carry,"Fire a moon blast at the largest group of enemies that deals 240/240/750% Attack Damage physical damage to enemies within 2 hexes. For 7 seconds, equip 3 Chakram, plus 1 more for each enemy hit by the blast. Attacks deal 7/7/15% Attack Damage bonus physical damage for each Chakram equipped. Aphelios heals for 75% of damage dealt by Chakrams (increased by Ability Power).",1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Homing,circle,Clustered,—,2,4,1,—,Area,Enemies in area,Attack,Damage,240/240/750% AD,—,—,Once,—,—
,,,,,,,,,,2,Active,After Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,4,—,—,None,Same to Aim Target,Buff,Chakram,3,Per Target Hit,+1 per enemy hit by the blast,Once,7,—
,,,,,,,,,,0,Passive,On Attack,If Empowered,Self,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Attack,Damage,7/7/15% AD,Per Stack,per Chakram equipped,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Omnivamp,75%,Derived,of Chakram damage only; increased by AP,Once,—,—
Cho'Gath,1 Gold,Tank,Void,,Bruiser,,1,Devouring Execute Tank,"Deal magic damage equal to 12% of the target's max Health (increased by Ability Power) to the lowest Health enemy in range. If this kills them, devour them and permanently gain 35 maximum Health. (Current Bonus: scales with each enemy devoured)",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Lowest-HP enemy,—,—,1,—,—,None,Same to Aim Target,Attack,Damage,12% target Max HP,Derived,increased by AP,Once,—,—
,,,,,,,,,,2,Active,On Kill,If Killed By Skill,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Bonus HP,35,Stacking,+35 per enemy devoured,Once,Permanent,—
Malzahar,1 Gold,Carry,Void,,Sorcerer,,4,Portal-Zone Mage,Open two portals near the current target. Destroy 50% of Shields and deal 220/330/500% Ability Power magic damage to all enemies caught between the portals.,1,Active,On Cast,—,Self,Hitbox,at-User,—,—,box,Current,—,1×3 (horizontal),4,1,—,Pierce-All,Enemies in path,Debuff,Shield Destroy,50%,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Attack,Damage,220/330/500% AP,—,—,Once,—,—
Kassadin,2 Gold,Tank,Void,,Bastion,,1,Disarming Shield Tank,"Gain 250/300/400% Ability Power Shield for 4 seconds. Deal 160/240/360% Ability Power magic damage to enemies in a cone and Disarm them for 1.5/1.75/2 seconds. Disarm: Cannot move or attack, but CAN cast spells.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Shield,250/300/400% AP,—,—,Once,4,—
,,,,,,,,,,,,On Cast,—,Self,Hitbox,at-Target,—,—,cone,Current,front edge,"4 (1 hex at range 1, 3 at range 2)",1,1,—,Area,Enemies in area,Attack,Damage,160/240/360% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Disarm,—,—,—,Once,1.5/1.75/2,—
Rek'Sai,3 Gold,Carry,Void,,Bruiser,,1,Marking Execute Bruiser,"Deal 250/250/255% Attack Damage physical damage to the current target and mark them. If they are below 66% max Health, deal true damage instead. If the target is marked, deal 240/240/250% Attack Damage bonus true damage. If this kills the target, rip through them 1 hex and heal for 10% Max Health (increased by Ability Power).",1,Active,On Cast,If Target NOT Below 66% HP,Self,DirectApply,—,—,—,—,Current,—,—,1,—,—,None,Same to Aim Target,Attack,Damage,250/250/255% AD,—,—,Once,—,—
,,,,,,,,,,,,,—,,,,,,,,,,,,,,Same to Aim Target,Status,Mark,—,—,—,Once,—,—
,,,,,,,,,,,,,If Target Below 66% HP,,,,,,,,,,,,,,Same to Aim Target,Attack,True Damage,250/250/255% AD,—,—,Once,—,—
,,,,,,,,,,,,,If Target Marked,,,,,,,,,,,,,,Same to Aim Target,Attack,True Damage,240/240/250% AD,Conditional Bonus,bonus true damage if marked,Once,—,—
,,,,,,,,,,2,Active,On Kill,—,Self,DirectApply,—,—,—,—,Current,—,—,1,—,—,None,Self,Movement,(reposition),—,—,—,—,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,10% Max HP,Derived,increased by AP,Once,—,—
Vel'Koz,3 Gold,Carry,Void,,Sorcerer,Multicaster,4,Splitting Plasma Mage,"Fire a plasma bolt towards the current target that deals 220/330/550% Ability Power magic damage to the first enemy hit. It then splits in two, dealing 50% less damage whenever it passes through an enemy.",1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,First-Hit,1-hex,Current,—,—,4,1,—,First-Hit,First hit enemy,Attack,Damage,220/330/550% AP,—,—,Once,—,—
,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Hitbox,at-User,Projectile,Pierce,1-hex,Step 1 Aim target,—,—,4,2,Diagonal to Action Source,Pierce-All,Enemies in path,Attack,Damage,220/330/550% AP,Falloff per hit,−50% per enemy passed through,Once,—,—
Kai'Sa,4 Gold,Carry,Void,,Challenger,,4,Missile-Barrage Carry,"Dash away from all enemies, then fire 15/15/25 missiles split across the 4 nearest enemies. Each missile deals 80/120/240% Ability Power magic damage.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Away from enemies,—,—,4,—,—,None,Self,Movement,(reposition),—,—,—,—,—,—
,,,,,,,,,,2,Active,After Leap,—,Self,Hitbox,at-User,Projectile,Homing,1-hex,Nearest 4 enemies,—,—,4,15/15/25,Split across nearest N,Target-Only,Aimed enemy,Attack,Damage,80/120/240% AP,—,—,Once,—,—
Bel'Veth,5 Gold,Carry,Empress,Void,,,2,Multi-Lash Empress Carry,Lash out at the lowest Health enemy in range 6/6/25 times. Each lash deals 85% Attack Damage + 18/30/100% Ability Power physical damage and 2% of the target's max Health as true damage.,1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Homing,1-hex,Lowest-HP enemy,—,—,2,6/6/25,Same target,Target-Only,Same to Aim Target,Attack,Damage,85% AD + 18/30/100% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Attack,True Damage,2% target Max HP,—,—,Once,—,—
Tristana,1 Gold,Carry,Yordle,,Gunner,,4,Explode-on-Hit Gunner,"Gain 70% Ability Power Attack Speed for 4 seconds. For the duration, attacks explode on impact and deal 60% Attack Damage physical damage to enemies within 1 hex. 4-Star Upgrade: Every 10th attack deals 100% Attack Damage bonus physical damage and ricochets to the largest clump of enemies, dealing 50% of that damage to enemies within 1 hex.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,4,—,—,None,Same to Aim Target,Buff,Attack Speed,70% AP,—,—,Once,4,—
,,,,,,,,,,2,Active,On Attack,If Empowered,Self,Hitbox,at-Target,—,—,circle,Current,centred,1,4,1,—,Area,Enemies in area,Attack,Damage,60% AD,—,—,Once,—,—
,,,,,,,,,,3,Active,On 10th Attack,If 4-Star,Self,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Attack,Damage,100% AD,—,—,Once,—,—
,,,,,,,,,,,,On 10th Attack,If 4-Star,Self,Hitbox,at-Target,—,—,circle,Clustered,centred,1,4,1,—,Area,Enemies in area,Attack,Damage,50%,Derived,of the 10th attack's damage,Once,—,—
Teemo,2 Gold,Carry,Yordle,,Strategist,Multicaster,4,Wounding Mushroom Mage,"Hurl an explosive heat-seeking mushroom at the current target. When it detonates, enemies within 1 hex are Wounded and dealt 260/390/585% Ability Power magic damage over 3 seconds. 4-Star Upgrade: Increase the explosion radius by 1 hex. Wound: Reduce healing received by 33%",1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Homing,circle,Current,—,1 (2 at 4-Star),4,1,—,Area,Enemies in area,Attack,Damage,260/390/585% AP,—,—,Every 0.5s,3,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Wound,—,—,—,Once,3,—
Heimerdinger,5 Gold,Support,Technogen,Yordle,,,4,Grenade Stun Artillery,"Hurl a grenade towards the largest group of enemies, dealing 150/225/3141% Ability Power magic damage to enemies in a large area and Stunning them for 1.5/2/15 seconds.",1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Homing,circle,Clustered,—,2,4,1,—,Area,Enemies in area,Attack,Damage,150/225/3141% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Stun,—,—,—,Once,1.5/2/15,—
Nilah,4 Gold,Carry,Bilgewater,,Vanquisher,,2,Cone-Auto Duelist,"Formless Blade: Passive: Attacks strike in a cone, dealing 55/55/100% Attack Damage physical damage to up to 2 additional enemies. Every 3rd attack strikes in a line for 170/175/375% Attack Damage physical damage and grants 18/18/40% stacking Attack Speed.Active: Gain 250/375/700% Ability Power Shield for 3 seconds and dash to a safe location.",0,Passive,On Attack,—,Self,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,2,1,Cone,Area,Additional enemies in cone,Attack,Damage,55/55/100% AD,—,—,Once,—,—
,,,,,,,,,,,,On 3rd Attack,—,Self,Hitbox,at-User,—,—,box,Current,—,—,2,1,—,Pierce-All,Enemies in path,Attack,Damage,170/175/375% AD,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Attack Speed,18/18/40%,Stacking,per 3rd attack,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,2,—,—,None,Self,Buff,Shield,250/375/700% AP,—,—,Once,3,—
,,,,,,,,,,,,On Cast,—,Self,DirectApply,—,—,—,—,Away from enemies,—,—,2,—,—,None,Self,Movement,(reposition),—,—,—,—,—,—
Miss Fortune,3 Gold,Carry,Bilgewater,,Strategist,,4,X-Rain Shield-Breaker,"X Marks the Spot: Call down an X-shaped rain of bullets, destroying 35% of the target's Shields and dealing 240/360/580% Ability Power magic damage. For 5 seconds, enemies hit have incoming Shields reduced by 35%.",1,Active,On Cast,—,Self,Hitbox,at-Target,—,—,custom,Current,centred,X-shape,4,1,—,Area,Enemies in area,Debuff,Shield Destroy,35%,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Attack,Damage,240/360/580% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,Shield Reduction,35% incoming,—,—,Once,5,—
Aatrox,5 Gold,Carry,Darkin,,Slayer,Juggernaut,1,Transformed AOE Slayer,"Transform for 10/10/30 seconds, gaining 10% Ability Power Omnivamp and converting 80% of bonus Attack Speed to Attack Damage. While transformed, attacks deal 250/250/2500% Attack Damage physical damage in an area.Omnivamp: Heal for percentage of damage dealt",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Self,Buff,Omnivamp,10% AP,—,—,Once,10/10/30,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AD,80% of bonus AS,Derived,converts bonus Attack Speed to AD,Once,10/10/30,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Debuff,Attack Speed,all bonus AS removed,—,consumed by the AD conversion,Once,10/10/30,—
,,,,,,,,,,0,Passive,On Attack,While transformed — 1st in loop,Self,Hitbox,at-Target,—,—,box,Self,rear edge,1×2,1,1,—,Area,Enemies in area,Attack,Damage,250/250/2500% AD,—,—,Once,—,—
,,,,,,,,,,,,On Attack,While transformed — 2nd in loop,Self,Hitbox,at-Target,—,—,cone,Self,front edge,Gwen-shaped,1,1,—,Area,Enemies in area,Attack,Damage,250/250/2500% AD,—,—,Once,—,—
,,,,,,,,,,,,On Attack,While transformed — 3rd in loop,Self,Hitbox,at-Target,—,—,circle,Self,centred,1,1,1,—,Area,Enemies in area,Attack,Damage,250/250/2500% AD,—,—,Once,—,—
Neeko,4 Gold,Tank,Ixtal,,Bastion,,2,Leap-Slam Bastion,"Shapesplitter: Leap towards the current target and gain 250/325/425% Ability Power Shield for 3 seconds. Slam down after a brief delay, dealing 300/450/700% Ability Power magic damage to enemies within two hexes.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Current,—,—,2,—,—,None,Self,Movement,(reposition),—,—,—,—,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Shield,250/325/425% AP,—,—,Once,3,—
,,,,,,,,,,2,Active,After Leap,—,Self,Hitbox,at-Target,—,—,circle,Current,centred,2,2,1,—,Area,Enemies in area,Attack,Damage,300/450/700% AP,—,—,Once,—,—
Qiyana,2 Gold,Carry,Ixtal,,Rogue,Slayer,1,Elemental Dash-Line Slayer,"Royal Combo: Dash to strike enemies in a line and deal 255/255/270% Attack Damage + 40/60/90% Ability Power physical damage, empowered by whichever elemental terrain is currently active; Stuns and knocks up the first target hit for 1.5 seconds and all other targets for 0.5 seconds.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Current,—,—,1,—,—,None,Self,Movement,(reposition),—,—,leaps THROUGH the current target,—,—,—
,,,,,,,,,,2,Active,After Leap,—,Self,Hitbox,at-User,Projectile,Pierce,1-hex,Current,—,—,1,1,—,Pierce-All,Enemies in path,Attack,Damage,255/255/270% AD + 40/60/90% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,First hit enemy,Status,Stun,—,—,—,Once,1.5,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Status,Stun,—,—,—,Once,0.5,—
Ryze,5 Gold,Support,Wanderer,,Invoker,,4,Barkskin Zone Invoker,"Create a portal that coats the ground around the current target in a thicket of vines. After a brief delay, deal magic damage to enemies within, scaling with Ryze's own Armor and Magic Resist (150/200/300% of each), and Stun enemies at the epicenter for 2/2/2.5 seconds with a knockup. Allies within are wrapped in Barkskin, granting bonus Armor and Magic Resist equal to 150/200/300% of Ryze's own for 4 seconds (increased by Ability Power).",1,Active,On Cast,—,Self,Hitbox,at-Target,—,—,circle,Current,centred,2,4,1,—,Area,Enemies in area,Attack,Damage,150/200/300% Armor + 150/200/300% MR,Derived,of Ryze's own Armor and MR,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies at epicenter,Status,Stun,—,—,—,Once,2/2/2.5,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Allies in area,Buff,Armor,150/200/300% of Ryze's Armor,Derived,increased by AP,Once,4,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Allies in area,Buff,MR,150/200/300% of Ryze's MR,Derived,increased by AP,Once,4,—
Jinx,2 Gold,Carry,Zaun,,Gunner,,4,Rocket-Barrage Gunner,Fire 5 rockets at random enemies within 2 hexes of the current target. Each rocket deals 150/155/160% Attack Damage + 15/20/35% Ability Power physical damage.,1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Homing,1-hex,Random (2 hex of Current),—,—,4,5,Each to its own target,Target-Only,Aimed enemy,Attack,Damage,150/155/160% AD + 15/20/35% AP,—,—,Once,—,—
Warwick,2 Gold,Tank,Zaun,,Juggernaut,Challenger,1,Lifesteal Frenzy Juggernaut,"Passive: Attacks heal for 30/35/40% Ability Power.Active: Gain 100% Attack Speed for 2.5 seconds. Then, Stun adjacent enemies for 1.25/1.5/2 seconds.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Self,Buff,Attack Speed,100%,—,—,Once,2.5,—
,,,,,,,,,,2,Active,After Cast,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,1,1,1,—,Area,Adjacent enemies,Status,Stun,—,—,—,Once,1.25/1.5/2,—
,,,,,,,,,,0,Passive,On Attack,—,Self,DirectApply,—,—,—,—,Current,—,—,1,1,—,Target-Only,Self,Buff,Heal,30/35/40% AP,—,—,Once,—,—
Urgot,4 Gold,Tank,Zaun,,Deadeye,,1,Six-Leg Zoner,"Passive: Whenever an enemy enters Attack Range, fire a blast from the leg facing that direction that deals 220% Attack Damage + 40/60/500% Ability Power physical damage. Each of Urgot's 6 legs has a 4/4/1 second cooldown.Active: Gain 350/450/1200% Ability Power Shield for 5 seconds and dash behind the current target. Reset all leg cooldowns.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Self,Buff,Shield,350/450/1200% AP,—,—,Once,5,—
,,,,,,,,,,2,Active,After Cast,—,Self,DirectApply,—,—,—,—,Current,—,—,1,—,—,None,Self,Movement,(reposition),—,—,resets all leg cooldowns,—,—,—
,,,,,,,,,,0,Passive,On Enemy Enters Range,Per leg (4/4/1s CD),Self,Hitbox,at-User,Projectile,First-Hit,circle,Enemy entering range,—,—,1,1,—,Target-Only,Aimed enemy,Attack,Damage,220% AD + 40/60/500% AP,—,—,Once,—,—
Zeri,4 Gold,Carry,Zaun,,Gunner,,4,Chain-Lightning Executioner,"Passive: Execute enemies below 8% max Health (increased by Ability Power). Active: For the next 8/8/15 seconds, attacks chain lightning to 3/3/5 additional enemies, dealing 45/45/100% Attack Damage physical damage.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,4,—,—,None,Self,Buff,On-Hit Damage,attacks chain to 3/3/5 additional enemies,—,—,Once,8/8/15,—
,,,,,,,,,,2,Passive,On Attack,While empowered,Self,Hitbox,at-User,Projectile,Homing,1-hex,Nearest 3/3/5 enemies,—,—,4,3/3/5,Split across nearest N,Target-Only,Aimed enemy,Attack,Damage,45/45/100% AD,—,—,Once,—,—
,,,,,,,,,,0,Passive,On Attack,Enemy < 8% max HP,Self,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Status,Execute,< 8% max HP (increased by AP),—,—,Once,—,—
Silco,4 Gold,Support,Zaun,,Sorcerer,,4,Chem-Zone Sorcerer,"Undercity Tactics: Throw a vial at the nearest surrounded enemy, covering nearby hexes in chemicals for 6 seconds. Deal 65/100/400% Ability Power magic damage per second to chemical-affected enemies, and heal affected allies for 20/25/120% Ability Power per second. When possible, target unaffected groups.",1,Active,On Cast,—,Self,Hitbox,at-Target,—,—,circle,Clustered,centred,2,4,1,—,Area,Enemies in area,Attack,Damage,65/100/400% AP,—,—,Every 1s,6,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Allies in area,Buff,Heal,20/25/120% AP,—,—,Every 1s,6,—
