Set,Champion,Cost,Role,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s),Action group
Set 9,Taric,3 Gold,Tank,Targon,,Bastion,Sorcerer,1,Damage-Redirecting Shield Tank,Gain 500/580/680% Ability Power Shield for 4 seconds. It redirects 50% of the damage received by adjacent allies.,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Adjacent allies (left & right),Buff,Damage Redirect,50%,—,—,Once,4,Direct
Set 9,Aphelios,4 Gold,Carry,Targon,,Deadeye,,4,Chakram-Stacking Moon Carry,"Fire a moon blast at the largest group of enemies that deals 240/240/750% Attack Damage physical damage to enemies within 2 hexes. For 7 seconds, equip 3 Chakram, plus 1 more for each enemy hit by the blast. Attacks deal 7/7/15% Attack Damage bonus physical damage for each Chakram equipped. Aphelios heals for 75% of damage dealt by Chakrams (increased by Ability Power).",1,Active,On Cast,—,Self,Homing Projectile,Clustered,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—,Projectile
Set 9,Aphelios,4 Gold,Carry,Targon,,Deadeye,,4,Chakram-Stacking Moon Carry,"Fire a moon blast at the largest group of enemies that deals 240/240/750% Attack Damage physical damage to enemies within 2 hexes. For 7 seconds, equip 3 Chakram, plus 1 more for each enemy hit by the blast. Attacks deal 7/7/15% Attack Damage bonus physical damage for each Chakram equipped. Aphelios heals for 75% of damage dealt by Chakrams (increased by Ability Power).",2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 2 hex,4,1,—,—,—,Enemies in area,Attack,Damage,240/240/750% AD,—,—,Once,—,AOE
Set 9,Aphelios,4 Gold,Carry,Targon,,Deadeye,,4,Chakram-Stacking Moon Carry,"Fire a moon blast at the largest group of enemies that deals 240/240/750% Attack Damage physical damage to enemies within 2 hexes. For 7 seconds, equip 3 Chakram, plus 1 more for each enemy hit by the blast. Attacks deal 7/7/15% Attack Damage bonus physical damage for each Chakram equipped. Aphelios heals for 75% of damage dealt by Chakrams (increased by Ability Power).",3,Active,After Step 2,—,Self,Cast,Self,—,—,4,—,—,—,—,Same to Aim Target,Buff,Chakram,3,Per Target Hit,+1 per enemy hit by the blast,Once,7,Direct
Set 9,Aphelios,4 Gold,Carry,Targon,,Deadeye,,4,Chakram-Stacking Moon Carry,"Fire a moon blast at the largest group of enemies that deals 240/240/750% Attack Damage physical damage to enemies within 2 hexes. For 7 seconds, equip 3 Chakram, plus 1 more for each enemy hit by the blast. Attacks deal 7/7/15% Attack Damage bonus physical damage for each Chakram equipped. Aphelios heals for 75% of damage dealt by Chakrams (increased by Ability Power).",0.1,Passive,On Attack,If Empowered,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Same to Aim Target,Attack,Damage,7/7/15% AD,Per Stack,per Chakram equipped,Once,—,On-Hit
Set 9,Aphelios,4 Gold,Carry,Targon,,Deadeye,,4,Chakram-Stacking Moon Carry,"Fire a moon blast at the largest group of enemies that deals 240/240/750% Attack Damage physical damage to enemies within 2 hexes. For 7 seconds, equip 3 Chakram, plus 1 more for each enemy hit by the blast. Attacks deal 7/7/15% Attack Damage bonus physical damage for each Chakram equipped. Aphelios heals for 75% of damage dealt by Chakrams (increased by Ability Power).",0.1,Passive,On Attack,If Empowered,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Self,Buff,Omnivamp,75%,Derived,of Chakram damage only; increased by AP,Once,—,On-Hit
Set 9,Cho'Gath,1 Gold,Tank,Void,,Bruiser,,1,Devouring Execute Tank,"Deal magic damage equal to 12% of the target's max Health (increased by Ability Power) to the lowest Health enemy in range. If this kills them, devour them and permanently gain 35 maximum Health. (Current Bonus: scales with each enemy devoured)",1,Active,On Cast,—,Self,Cast,Lowest-HP enemy,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,12% target Max HP,Derived,increased by AP,Once,—,Direct
Set 9,Cho'Gath,1 Gold,Tank,Void,,Bruiser,,1,Devouring Execute Tank,"Deal magic damage equal to 12% of the target's max Health (increased by Ability Power) to the lowest Health enemy in range. If this kills them, devour them and permanently gain 35 maximum Health. (Current Bonus: scales with each enemy devoured)",2,Active,On Kill,If Killed By Skill,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,35,Stacking,+35 per enemy devoured,Once,Permanent,Direct
Set 9,Malzahar,1 Gold,Carry,Void,,Sorcerer,,4,Portal-Zone Mage,Open two portals near the current target. Destroy 50% of Shields and deal 220/330/500% Ability Power magic damage to all enemies caught between the portals.,1,Active,On Cast,—,Self,Laser Shot,Current,default,Box 3x1,4,1,—,—,—,Enemies in path,Debuff,Shield Destroy,50%,—,—,Once,—,Beam
Set 9,Malzahar,1 Gold,Carry,Void,,Sorcerer,,4,Portal-Zone Mage,Open two portals near the current target. Destroy 50% of Shields and deal 220/330/500% Ability Power magic damage to all enemies caught between the portals.,1,Active,On Cast,—,Self,Laser Shot,Current,default,Box 3x1,4,1,—,—,—,Enemies in path,Attack,Damage,220/330/500% AP,—,—,Once,—,Beam
Set 9,Kassadin,2 Gold,Tank,Void,,Bastion,,1,Disarming Shield Tank,"Gain 250/300/400% Ability Power Shield for 4 seconds. Deal 160/240/360% Ability Power magic damage to enemies in a cone and Disarm them for 1.5/1.75/2 seconds. Disarm: Cannot move or attack, but CAN cast spells.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,250/300/400% AP,—,—,Once,4,Direct
Set 9,Kassadin,2 Gold,Tank,Void,,Bastion,,1,Disarming Shield Tank,"Gain 250/300/400% Ability Power Shield for 4 seconds. Deal 160/240/360% Ability Power magic damage to enemies in a cone and Disarm them for 1.5/1.75/2 seconds. Disarm: Cannot move or attack, but CAN cast spells.",1,Active,On Cast,—,Self,Cone AOE,Current,default,Cone 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,160/240/360% AP,—,—,Once,—,AOE
Set 9,Kassadin,2 Gold,Tank,Void,,Bastion,,1,Disarming Shield Tank,"Gain 250/300/400% Ability Power Shield for 4 seconds. Deal 160/240/360% Ability Power magic damage to enemies in a cone and Disarm them for 1.5/1.75/2 seconds. Disarm: Cannot move or attack, but CAN cast spells.",1,Active,On Cast,—,Self,Cone AOE,Current,default,Cone 1 hex,1,1,—,—,—,Enemies in area,Status,Disarm,—,—,—,Once,1.5/1.75/2,AOE
Set 9,Rek'Sai,3 Gold,Carry,Void,,Bruiser,,1,Marking Execute Bruiser,"Deal 250/250/255% Attack Damage physical damage to the current target and mark them. If they are below 66% max Health, deal true damage instead. If the target is marked, deal 240/240/250% Attack Damage bonus true damage. If this kills the target, rip through them 1 hex and heal for 10% Max Health (increased by Ability Power).",1,Active,On Cast,If Target NOT Below 66% HP,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,250/250/255% AD,—,—,Once,—,Direct
Set 9,Rek'Sai,3 Gold,Carry,Void,,Bruiser,,1,Marking Execute Bruiser,"Deal 250/250/255% Attack Damage physical damage to the current target and mark them. If they are below 66% max Health, deal true damage instead. If the target is marked, deal 240/240/250% Attack Damage bonus true damage. If this kills the target, rip through them 1 hex and heal for 10% Max Health (increased by Ability Power).",1,Active,On Cast,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Status,Mark,—,—,—,Once,—,Direct
Set 9,Rek'Sai,3 Gold,Carry,Void,,Bruiser,,1,Marking Execute Bruiser,"Deal 250/250/255% Attack Damage physical damage to the current target and mark them. If they are below 66% max Health, deal true damage instead. If the target is marked, deal 240/240/250% Attack Damage bonus true damage. If this kills the target, rip through them 1 hex and heal for 10% Max Health (increased by Ability Power).",1,Active,On Cast,If Target Below 66% HP,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,True Damage,250/250/255% AD,—,—,Once,—,Direct
Set 9,Rek'Sai,3 Gold,Carry,Void,,Bruiser,,1,Marking Execute Bruiser,"Deal 250/250/255% Attack Damage physical damage to the current target and mark them. If they are below 66% max Health, deal true damage instead. If the target is marked, deal 240/240/250% Attack Damage bonus true damage. If this kills the target, rip through them 1 hex and heal for 10% Max Health (increased by Ability Power).",1,Active,On Cast,If Target Marked,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,True Damage,240/240/250% AD,Conditional Bonus,bonus true damage if marked,Once,—,Direct
Set 9,Rek'Sai,3 Gold,Carry,Void,,Bruiser,,1,Marking Execute Bruiser,"Deal 250/250/255% Attack Damage physical damage to the current target and mark them. If they are below 66% max Health, deal true damage instead. If the target is marked, deal 240/240/250% Attack Damage bonus true damage. If this kills the target, rip through them 1 hex and heal for 10% Max Health (increased by Ability Power).",2,Active,On Kill,—,Self,Move Behind,Current,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—,Movement
Set 9,Rek'Sai,3 Gold,Carry,Void,,Bruiser,,1,Marking Execute Bruiser,"Deal 250/250/255% Attack Damage physical damage to the current target and mark them. If they are below 66% max Health, deal true damage instead. If the target is marked, deal 240/240/250% Attack Damage bonus true damage. If this kills the target, rip through them 1 hex and heal for 10% Max Health (increased by Ability Power).",2,Active,On Kill,—,Self,Move Behind,Current,—,—,1,—,—,—,—,Self,Buff,Heal,10% Max HP,Derived,increased by AP,Once,—,Movement
Set 9,Vel'Koz,3 Gold,Carry,Void,,Sorcerer,Multicaster,4,Splitting Plasma Mage,"Fire a plasma bolt towards the current target that deals 220/330/550% Ability Power magic damage to the first enemy hit. It then splits in two, dealing 50% less damage whenever it passes through an enemy.",1,Active,On Cast,—,Self,First hit Projectile,Current,default,default,4,1,—,—,—,First hit enemy,Attack,Damage,220/330/550% AP,—,—,Once,—,Projectile
Set 9,Vel'Koz,3 Gold,Carry,Void,,Sorcerer,Multicaster,4,Splitting Plasma Mage,"Fire a plasma bolt towards the current target that deals 220/330/550% Ability Power magic damage to the first enemy hit. It then splits in two, dealing 50% less damage whenever it passes through an enemy.",2,Active,On Projectile Hit,—,Step 1 Projectile,Pierce Projectile,Step 1 Aim target,default,default,4,2,Diagonal to Action Source,At Once,—,Enemies in path,Attack,Damage,220/330/550% AP,Falloff per hit,−50% per enemy passed through,Once,—,Projectile
Set 9,Kai'Sa,4 Gold,Carry,Void,,Challenger,,4,Missile-Barrage Carry,"Dash away from all enemies, then fire 15/15/25 missiles split across the 4 nearest enemies. Each missile deals 80/120/240% Ability Power magic damage.",1,Active,On Cast,—,Self,Move,Away from enemies,—,—,4,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—,Movement
Set 9,Kai'Sa,4 Gold,Carry,Void,,Challenger,,4,Missile-Barrage Carry,"Dash away from all enemies, then fire 15/15/25 missiles split across the 4 nearest enemies. Each missile deals 80/120/240% Ability Power magic damage.",2,Active,After Step 1,—,Self,Homing Projectile,Nearest 4 enemies,default,default,4,15/15/25,—,Consecutive,—,Aimed enemy,Attack,Damage,80/120/240% AP,—,—,Once,—,Projectile
Set 9,Bel'Veth,5 Gold,Carry,Empress,Void,,,2,Multi-Lash Empress Carry,Lash out at the lowest Health enemy in range 6/6/25 times. Each lash deals 85% Attack Damage + 18/30/100% Ability Power physical damage and 2% of the target's max Health as true damage.,1,Active,On Cast,—,Self,QuickAA,Lowest-HP enemy,default,default,2,6/6/25,—,Consecutive,—,Same to Aim Target,Attack,Damage,85% AD + 18/30/100% AP,—,—,Once,—,Attack
Set 9,Bel'Veth,5 Gold,Carry,Empress,Void,,,2,Multi-Lash Empress Carry,Lash out at the lowest Health enemy in range 6/6/25 times. Each lash deals 85% Attack Damage + 18/30/100% Ability Power physical damage and 2% of the target's max Health as true damage.,1,Active,On Cast,—,Self,QuickAA,Lowest-HP enemy,default,default,2,6/6/25,—,Consecutive,—,Same to Aim Target,Attack,True Damage,2% target Max HP,—,—,Once,—,Attack
Set 9,Tristana,1 Gold,Carry,Yordle,,Gunner,,4,Explode-on-Hit Gunner,"Gain 70% Ability Power Attack Speed for 4 seconds. For the duration, attacks explode on impact and deal 60% Attack Damage physical damage to enemies within 1 hex. 4-Star Upgrade: Every 10th attack deals 100% Attack Damage bonus physical damage and ricochets to the largest clump of enemies, dealing 50% of that damage to enemies within 1 hex.",1,Active,On Cast,—,Self,Cast,Self,—,—,4,—,—,—,—,Same to Aim Target,Buff,Attack Speed,70% AP,—,—,Once,4,Direct
Set 9,Tristana,1 Gold,Carry,Yordle,,Gunner,,4,Explode-on-Hit Gunner,"Gain 70% Ability Power Attack Speed for 4 seconds. For the duration, attacks explode on impact and deal 60% Attack Damage physical damage to enemies within 1 hex. 4-Star Upgrade: Every 10th attack deals 100% Attack Damage bonus physical damage and ricochets to the largest clump of enemies, dealing 50% of that damage to enemies within 1 hex.",2,Active,On Attack,If Empowered,Self,Circle AOE,Current,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,60% AD,—,—,Once,—,AOE
Set 9,Tristana,1 Gold,Carry,Yordle,,Gunner,,4,Explode-on-Hit Gunner,"Gain 70% Ability Power Attack Speed for 4 seconds. For the duration, attacks explode on impact and deal 60% Attack Damage physical damage to enemies within 1 hex. 4-Star Upgrade: Every 10th attack deals 100% Attack Damage bonus physical damage and ricochets to the largest clump of enemies, dealing 50% of that damage to enemies within 1 hex.",3,Active,On 10th Attack,If 4-Star,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Same to Aim Target,Attack,Damage,100% AD,—,—,Once,—,On-Hit
Set 9,Tristana,1 Gold,Carry,Yordle,,Gunner,,4,Explode-on-Hit Gunner,"Gain 70% Ability Power Attack Speed for 4 seconds. For the duration, attacks explode on impact and deal 60% Attack Damage physical damage to enemies within 1 hex. 4-Star Upgrade: Every 10th attack deals 100% Attack Damage bonus physical damage and ricochets to the largest clump of enemies, dealing 50% of that damage to enemies within 1 hex.",3,Active,On 10th Attack,If 4-Star,Self,Circle AOE,Clustered,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,50%,Derived,of the 10th attack's damage,Once,—,AOE
Set 9,Teemo,2 Gold,Carry,Yordle,,Strategist,Multicaster,4,Wounding Mushroom Mage,"Hurl an explosive heat-seeking mushroom at the current target. When it detonates, enemies within 1 hex are Wounded and dealt 260/390/585% Ability Power magic damage over 3 seconds. 4-Star Upgrade: Increase the explosion radius by 1 hex. Wound: Reduce healing received by 33%",1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—,Projectile
Set 9,Teemo,2 Gold,Carry,Yordle,,Strategist,Multicaster,4,Wounding Mushroom Mage,"Hurl an explosive heat-seeking mushroom at the current target. When it detonates, enemies within 1 hex are Wounded and dealt 260/390/585% Ability Power magic damage over 3 seconds. 4-Star Upgrade: Increase the explosion radius by 1 hex. Wound: Reduce healing received by 33%",2,Active,On Projectile Hit,If not 4-Star,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,260/390/585% AP,—,—,Every 0.5s,3,AOE
Set 9,Teemo,2 Gold,Carry,Yordle,,Strategist,Multicaster,4,Wounding Mushroom Mage,"Hurl an explosive heat-seeking mushroom at the current target. When it detonates, enemies within 1 hex are Wounded and dealt 260/390/585% Ability Power magic damage over 3 seconds. 4-Star Upgrade: Increase the explosion radius by 1 hex. Wound: Reduce healing received by 33%",2,Active,On Projectile Hit,If not 4-Star,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Status,Wound,—,—,—,Once,3,AOE
Set 9,Teemo,2 Gold,Carry,Yordle,,Strategist,Multicaster,4,Wounding Mushroom Mage,"Hurl an explosive heat-seeking mushroom at the current target. When it detonates, enemies within 1 hex are Wounded and dealt 260/390/585% Ability Power magic damage over 3 seconds. 4-Star Upgrade: Increase the explosion radius by 1 hex. Wound: Reduce healing received by 33%",2,Active,On Projectile Hit,If 4-Star,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 2 hex,4,1,—,—,—,Enemies in area,Attack,Damage,260/390/585% AP,—,—,Every 0.5s,3,AOE
Set 9,Teemo,2 Gold,Carry,Yordle,,Strategist,Multicaster,4,Wounding Mushroom Mage,"Hurl an explosive heat-seeking mushroom at the current target. When it detonates, enemies within 1 hex are Wounded and dealt 260/390/585% Ability Power magic damage over 3 seconds. 4-Star Upgrade: Increase the explosion radius by 1 hex. Wound: Reduce healing received by 33%",2,Active,On Projectile Hit,If 4-Star,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 2 hex,4,1,—,—,—,Enemies in area,Status,Wound,—,—,—,Once,3,AOE
Set 9,Heimerdinger,5 Gold,Support,Technogen,Yordle,,,4,Grenade Stun Artillery,"Hurl a grenade towards the largest group of enemies, dealing 150/225/3141% Ability Power magic damage to enemies in a large area and Stunning them for 1.5/2/15 seconds.",1,Active,On Cast,—,Self,Homing Projectile,Clustered,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—,Projectile
Set 9,Heimerdinger,5 Gold,Support,Technogen,Yordle,,,4,Grenade Stun Artillery,"Hurl a grenade towards the largest group of enemies, dealing 150/225/3141% Ability Power magic damage to enemies in a large area and Stunning them for 1.5/2/15 seconds.",2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 2 hex,4,1,—,—,—,Enemies in area,Attack,Damage,150/225/3141% AP,—,—,Once,—,AOE
Set 9,Heimerdinger,5 Gold,Support,Technogen,Yordle,,,4,Grenade Stun Artillery,"Hurl a grenade towards the largest group of enemies, dealing 150/225/3141% Ability Power magic damage to enemies in a large area and Stunning them for 1.5/2/15 seconds.",2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 2 hex,4,1,—,—,—,Enemies in area,Status,Stun,—,—,—,Once,1.5/2/15,AOE
Set 9,Nilah,4 Gold,Carry,Bilgewater,,Vanquisher,,2,Cone-Auto Duelist,"Formless Blade: Passive: Attacks strike in a cone, dealing 55/55/100% Attack Damage physical damage to up to 2 additional enemies. Every 3rd attack strikes in a line for 170/175/375% Attack Damage physical damage and grants 18/18/40% stacking Attack Speed.Active: Gain 250/375/700% Ability Power Shield for 3 seconds and dash to a safe location.",0.1,Passive,On Attack,—,Self,Cone AOE,Current,default,unknown,2,1,—,—,—,Additional enemies in cone,Attack,Damage,55/55/100% AD,—,—,Once,—,AOE
Set 9,Nilah,4 Gold,Carry,Bilgewater,,Vanquisher,,2,Cone-Auto Duelist,"Formless Blade: Passive: Attacks strike in a cone, dealing 55/55/100% Attack Damage physical damage to up to 2 additional enemies. Every 3rd attack strikes in a line for 170/175/375% Attack Damage physical damage and grants 18/18/40% stacking Attack Speed.Active: Gain 250/375/700% Ability Power Shield for 3 seconds and dash to a safe location.",0.1,Passive,On 3rd Attack,—,Self,Laser Shot,Current,default,unknown,2,1,—,—,—,Enemies in path,Attack,Damage,170/175/375% AD,—,—,Once,—,Beam
Set 9,Nilah,4 Gold,Carry,Bilgewater,,Vanquisher,,2,Cone-Auto Duelist,"Formless Blade: Passive: Attacks strike in a cone, dealing 55/55/100% Attack Damage physical damage to up to 2 additional enemies. Every 3rd attack strikes in a line for 170/175/375% Attack Damage physical damage and grants 18/18/40% stacking Attack Speed.Active: Gain 250/375/700% Ability Power Shield for 3 seconds and dash to a safe location.",0.1,Passive,On 3rd Attack,—,Self,Laser Shot,Current,default,unknown,2,1,—,—,—,Self,Buff,Attack Speed,18/18/40%,Stacking,per 3rd attack,Once,Permanent,Beam
Set 9,Nilah,4 Gold,Carry,Bilgewater,,Vanquisher,,2,Cone-Auto Duelist,"Formless Blade: Passive: Attacks strike in a cone, dealing 55/55/100% Attack Damage physical damage to up to 2 additional enemies. Every 3rd attack strikes in a line for 170/175/375% Attack Damage physical damage and grants 18/18/40% stacking Attack Speed.Active: Gain 250/375/700% Ability Power Shield for 3 seconds and dash to a safe location.",1,Active,On Cast,—,Self,Cast,Self,—,—,2,—,—,—,—,Self,Buff,Shield,250/375/700% AP,—,—,Once,3,Direct
Set 9,Nilah,4 Gold,Carry,Bilgewater,,Vanquisher,,2,Cone-Auto Duelist,"Formless Blade: Passive: Attacks strike in a cone, dealing 55/55/100% Attack Damage physical damage to up to 2 additional enemies. Every 3rd attack strikes in a line for 170/175/375% Attack Damage physical damage and grants 18/18/40% stacking Attack Speed.Active: Gain 250/375/700% Ability Power Shield for 3 seconds and dash to a safe location.",1,Active,On Cast,—,Self,Move,Away from enemies,—,—,2,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—,Movement
Set 9,Miss Fortune,3 Gold,Carry,Bilgewater,,Strategist,,4,X-Rain Shield-Breaker,"X Marks the Spot: Call down an X-shaped rain of bullets, destroying 35% of the target's Shields and dealing 240/360/580% Ability Power magic damage. For 5 seconds, enemies hit have incoming Shields reduced by 35%.",1,Active,On Cast,—,Self,Custom AOE,Current,centred,X-shape,4,1,—,—,—,Enemies in area,Debuff,Shield Destroy,35%,—,—,Once,—,AOE
Set 9,Miss Fortune,3 Gold,Carry,Bilgewater,,Strategist,,4,X-Rain Shield-Breaker,"X Marks the Spot: Call down an X-shaped rain of bullets, destroying 35% of the target's Shields and dealing 240/360/580% Ability Power magic damage. For 5 seconds, enemies hit have incoming Shields reduced by 35%.",1,Active,On Cast,—,Self,Custom AOE,Current,centred,X-shape,4,1,—,—,—,Enemies in area,Attack,Damage,240/360/580% AP,—,—,Once,—,AOE
Set 9,Miss Fortune,3 Gold,Carry,Bilgewater,,Strategist,,4,X-Rain Shield-Breaker,"X Marks the Spot: Call down an X-shaped rain of bullets, destroying 35% of the target's Shields and dealing 240/360/580% Ability Power magic damage. For 5 seconds, enemies hit have incoming Shields reduced by 35%.",1,Active,On Cast,—,Self,Custom AOE,Current,centred,X-shape,4,1,—,—,—,Enemies in area,Debuff,Shield Reduction,35% incoming,—,—,Once,5,AOE
Set 9,Aatrox,5 Gold,Carry,Darkin,,Slayer,Juggernaut,1,Transformed AOE Slayer,"Transform for 10/10/30 seconds, gaining 10% Ability Power Omnivamp and converting 80% of bonus Attack Speed to Attack Damage. While transformed, attacks deal 250/250/2500% Attack Damage physical damage in an area.Omnivamp: Heal for percentage of damage dealt",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Omnivamp,10% AP,—,—,Once,10/10/30,Direct
Set 9,Aatrox,5 Gold,Carry,Darkin,,Slayer,Juggernaut,1,Transformed AOE Slayer,"Transform for 10/10/30 seconds, gaining 10% Ability Power Omnivamp and converting 80% of bonus Attack Speed to Attack Damage. While transformed, attacks deal 250/250/2500% Attack Damage physical damage in an area.Omnivamp: Heal for percentage of damage dealt",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,AD,80% of bonus AS,Derived,converts bonus Attack Speed to AD,Once,10/10/30,Direct
Set 9,Aatrox,5 Gold,Carry,Darkin,,Slayer,Juggernaut,1,Transformed AOE Slayer,"Transform for 10/10/30 seconds, gaining 10% Ability Power Omnivamp and converting 80% of bonus Attack Speed to Attack Damage. While transformed, attacks deal 250/250/2500% Attack Damage physical damage in an area.Omnivamp: Heal for percentage of damage dealt",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Debuff,Attack Speed,all bonus AS removed,—,consumed by the AD conversion,Once,10/10/30,Direct
Set 9,Aatrox,5 Gold,Carry,Darkin,,Slayer,Juggernaut,1,Transformed AOE Slayer,"Transform for 10/10/30 seconds, gaining 10% Ability Power Omnivamp and converting 80% of bonus Attack Speed to Attack Damage. While transformed, attacks deal 250/250/2500% Attack Damage physical damage in an area.Omnivamp: Heal for percentage of damage dealt",0.1,Passive,On Attack,While transformed — 1st in loop,Self,Box AOE,Self,rear edge,Box 1x2,1,1,—,—,—,Enemies in area,Attack,Damage,250/250/2500% AD,—,—,Once,—,AOE
Set 9,Aatrox,5 Gold,Carry,Darkin,,Slayer,Juggernaut,1,Transformed AOE Slayer,"Transform for 10/10/30 seconds, gaining 10% Ability Power Omnivamp and converting 80% of bonus Attack Speed to Attack Damage. While transformed, attacks deal 250/250/2500% Attack Damage physical damage in an area.Omnivamp: Heal for percentage of damage dealt",0.1,Passive,On Attack,While transformed — 2nd in loop,Self,Cone AOE,Self,default,Cone 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,250/250/2500% AD,—,—,Once,—,AOE
Set 9,Aatrox,5 Gold,Carry,Darkin,,Slayer,Juggernaut,1,Transformed AOE Slayer,"Transform for 10/10/30 seconds, gaining 10% Ability Power Omnivamp and converting 80% of bonus Attack Speed to Attack Damage. While transformed, attacks deal 250/250/2500% Attack Damage physical damage in an area.Omnivamp: Heal for percentage of damage dealt",0.1,Passive,On Attack,While transformed — 3rd in loop,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,250/250/2500% AD,—,—,Once,—,AOE
Set 9,Neeko,4 Gold,Tank,Ixtal,,Bastion,,2,Leap-Slam Bastion,"Shapesplitter: Leap towards the current target and gain 250/325/425% Ability Power Shield for 3 seconds. Slam down after a brief delay, dealing 300/450/700% Ability Power magic damage to enemies within two hexes.",1,Active,On Cast,—,Self,Move,Current,—,—,2,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—,Movement
Set 9,Neeko,4 Gold,Tank,Ixtal,,Bastion,,2,Leap-Slam Bastion,"Shapesplitter: Leap towards the current target and gain 250/325/425% Ability Power Shield for 3 seconds. Slam down after a brief delay, dealing 300/450/700% Ability Power magic damage to enemies within two hexes.",1,Active,On Cast,—,Self,Move,Current,—,—,2,—,—,—,—,Self,Buff,Shield,250/325/425% AP,—,—,Once,3,Movement
Set 9,Neeko,4 Gold,Tank,Ixtal,,Bastion,,2,Leap-Slam Bastion,"Shapesplitter: Leap towards the current target and gain 250/325/425% Ability Power Shield for 3 seconds. Slam down after a brief delay, dealing 300/450/700% Ability Power magic damage to enemies within two hexes.",2,Active,After Step 1,—,Self,Circle AOE,Current,centred,Circle 2 hex,2,1,—,—,—,Enemies in area,Attack,Damage,300/450/700% AP,—,—,Once,—,AOE
Set 9,Qiyana,2 Gold,Carry,Ixtal,,Rogue,Slayer,1,Elemental Dash-Line Slayer,"Royal Combo: Dash to strike enemies in a line and deal 255/255/270% Attack Damage + 40/60/90% Ability Power physical damage, empowered by whichever elemental terrain is currently active; Stuns and knocks up the first target hit for 1.5 seconds and all other targets for 0.5 seconds.",1,Active,On Cast,—,Self,Move Behind,Current,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,leaps THROUGH the current target,—,—,Movement
Set 9,Qiyana,2 Gold,Carry,Ixtal,,Rogue,Slayer,1,Elemental Dash-Line Slayer,"Royal Combo: Dash to strike enemies in a line and deal 255/255/270% Attack Damage + 40/60/90% Ability Power physical damage, empowered by whichever elemental terrain is currently active; Stuns and knocks up the first target hit for 1.5 seconds and all other targets for 0.5 seconds.",2,Active,After Step 1,—,Self,Pierce Projectile,Current,default,default,1,1,—,—,—,Enemies in path,Attack,Damage,255/255/270% AD + 40/60/90% AP,—,—,Once,—,Projectile
Set 9,Qiyana,2 Gold,Carry,Ixtal,,Rogue,Slayer,1,Elemental Dash-Line Slayer,"Royal Combo: Dash to strike enemies in a line and deal 255/255/270% Attack Damage + 40/60/90% Ability Power physical damage, empowered by whichever elemental terrain is currently active; Stuns and knocks up the first target hit for 1.5 seconds and all other targets for 0.5 seconds.",2,Active,After Step 1,—,Self,Pierce Projectile,Current,default,default,1,1,—,—,—,First hit enemy,Status,Stun,—,—,—,Once,1.5,Projectile
