Champion,Cost,Role,Damage Type,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s)
Seraphine,2 Gold,Mage,AP,K/DA,,Spellweaver,,4,Clump-Note Spellweaver,Send a high note to the largest clump of units that hits all units within 1 hex. Enemies take 140/210/315% Ability Power magic damage. Allies heal for 80/120/160% Ability Power Health.,1,Active,On Cast,—,Self,Circle AOE,Clustered,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,140/210/315% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Allies in area,Buff,Heal,80/120/160% AP,—,—,Once,—
Miss Fortune,3 Gold,Marksman,AD,Jazz,,Big Shot,,5,Two-Target Big Shot,"Deal 280/280/290% Attack Damage physical damage to the current target and 180/180/180% Attack Damage physical damage to the closest enemy behind them. If either die, gain 40/40/40% Ability Power Attack Speed for 4/4/4 seconds.",1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,5,1,—,—,—,Same to Aim Target,Attack,Damage,280/280/290% AD,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Homing Projectile,Closest enemy behind Step 1 Aim target,default,default,5,1,—,—,—,Same to Aim Target,Attack,Damage,180/180/180% AD,—,—,Once,—
,,,,,,,,,,,3,Active,On Kill,—,Self,Cast,Self,—,—,5,—,—,—,—,Self,Buff,Attack Speed,40/40/40% AP,—,—,Once,4/4/4
Neeko,3 Gold,Tank,AP,K/DA,,Superfan,Guardian,1,Cosplay Shield Guardian,"Cosplay the highest Health ally and gain a 250/300/350% Ability Power Shield + 6/6/6% of the ally's Health for 4/4/4 seconds. When it breaks, deal 70/90/115% of its initial value as magic damage to adjacent enemies.",1,Active,On Cast,—,Self,Cast,Highest-HP Ally,—,—,1,—,—,—,—,Self,Buff,Shield,250/300/350% AP + 6/6/6% of the ally's HP,Derived,part of the shield scales off the cosplayed ally's Health,Once,4/4/4
,,,,,,,,,,,2,Active,On Shield Expire,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,70/90/115% of the shield's initial value,Derived,of the Step 1 shield's initial value,Once,—
Ahri,4 Gold,Mage,AP,K/DA,,Spellweaver,,5,Kiss-Memory Spellweaver,"Blow a kiss at the current target. It deals 275/410/820% Ability Power magic damage and briefly Stuns them. If the target has been kissed before, deal 480/720/1440% Ability Power magic damage instead.",1,Active,On Cast,If Target Not Kissed,Self,Homing Projectile,Current,default,default,5,1,—,—,—,Same to Aim Target,Attack,Damage,275/410/820% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Mark,—,—,kissed,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,unknown
,,,,,,,,,,,,,,If Target Kissed,,,,,,,,,,,Same to Aim Target,Attack,Damage,480/720/1440% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,unknown
Lucian,5 Gold,Marksman,AD,Jazz,,Rapidfire,,5,Fourteen-Shot Rapidfire,"Fire 14 shots toward the furthest enemy. Each shot explodes on the first enemy hit, dealing 60/60/1000% Attack Damage plus 20/30/100% Ability Power physical damage to all nearby enemies and reducing their Armor by 3/5/20 for the rest of combat. If Arpeggio ends early, gain Mana based on the number of unused shots.",1,Active,On Cast,—,Self,First hit Projectile,Farthest,default,default,5,14,—,Consecutive,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 1 hex,5,1,—,—,—,Enemies in area,Attack,Damage,60/60/1000% AD + 20/30/100% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,DEF,3/5/20,—,"Armor, for the rest of combat",Once,Permanent
,,,,,,,,,,,3,Active,On Cast Expire,If Arpeggio ended early,Self,Cast,Self,—,—,5,—,—,—,—,Self,Buff,Mana,unknown,Derived,per unused shot,Once,—
Akali (K/DA),4 Gold,Assassin,AD,K/DA,,Executioner,Breakout,1,Mark-and-Dash Executioner,"Throw a shuriken at the farthest unmarked target, marking them. Dash to every marked enemy, striking them for 190/190/380% Attack Damage physical damage and dealing 80/120/400% Ability Power physical damage to enemies dashed through.",1,Active,On Cast,—,Self,Homing Projectile,Farthest unmarked enemy,default,default,1,1,—,—,—,Same to Aim Target,Status,Mark,—,—,—,Once,Permanent
,,,,,,,,,,,2,Active,After Step 1,—,Self,Charge,Marked enemies,default,default,1,unknown,—,Consecutive,—,Same to Aim Target,Attack,Damage,190/190/380% AD,Stacking,one dash per mark; +1 mark per cast,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Attack,Damage,80/120/400% AP,—,—,Once,—
Akali (True Damage),4 Gold,Assassin,AD,True Damage,,Executioner,Breakout,1,Mark-and-Dash Executioner,"Throw a shuriken at the farthest unmarked target, marking them. Dash to every marked enemy, striking them for 190/190/380% Attack Damage physical damage and dealing 80/120/400% Ability Power physical damage to enemies dashed through.",1,Active,On Cast,—,Self,Homing Projectile,Farthest unmarked enemy,default,default,1,1,—,—,—,Same to Aim Target,Status,Mark,—,—,—,Once,Permanent
,,,,,,,,,,,2,Active,After Step 1,—,Self,Charge,Marked enemies,default,default,1,unknown,—,Consecutive,—,Same to Aim Target,Attack,Damage,190/190/380% AD,Stacking,one dash per mark; +1 mark per cast,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Attack,Damage,80/120/400% AP,—,—,Once,—
Jinx,1 Gold,Marksman,AD,Punk,,Rapidfire,,4,Weapon-Swapping Rapidfire,Passive Minigun: Attacks grant 0.04/0.04/0.04% Ability Power Attack Speed. Passive Rocket Launcher: Attacks deal 50/50/50% Attack Damage bonus physical damage. Active: Swap between Minigun and Rocket Launcher.,0.1,Passive,On Attack,If Minigun,Self,Bonus on AA,Current,—,—,4,—,—,—,—,Self,Buff,Attack Speed,0.04/0.04/0.04% AP,Stacking,—,Once,Permanent
,,,,,,,,,,,0.2,Passive,On Attack,If Rocket Launcher,Self,Bonus on AA,Current,—,—,4,—,—,—,—,Same to Aim Target,Attack,Damage,50/50/50% AD,—,—,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,4,—,—,—,—,Self,Status,Weapon Stance,—,—,swaps between Minigun and Rocket Launcher,Once,Permanent
Vi,1 Gold,Fighter,AD,Punk,,Mosher,,1,Armor-Shredding Mosher,"Deal 330/330/330% Attack Damage physical damage to the current target, or 450/450/450% Attack Damage if they have more current Health than Vi. Stun them for 1.5/1.75/2 seconds and reduce their Armor by 15/18/20% Ability Power for the rest of combat.",1,Active,On Cast,If Target HP > Self HP,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,450/450/450% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,1.5/1.75/2
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,DEF,15/18/20% AP,—,"Armor, for the rest of combat",Once,Permanent
,,,,,,,,,,,,,,If Target HP <= Self HP,,,,,,,,,,,Same to Aim Target,Attack,Damage,330/330/330% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,1.5/1.75/2
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,DEF,15/18/20% AP,—,"Armor, for the rest of combat",Once,Permanent
Pantheon,2 Gold,Tank,AD,Punk,,Guardian,,1,Retaliation Guardian,"Reduce damage taken by 20% plus 25/25/30% (Ability Power) for 2.5 seconds. Afterwards, deal 200% Attack Damage physical damage to the 3 enemies who dealt the most damage to Pantheon during the duration.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Damage Reduction,20% + 25/25/30% AP,—,—,Once,2.5
,,,,,,,,,,,2,Active,On Cast Expire,—,Self,Cast,3 enemies that damaged Self most,—,—,1,3,—,At Once,—,Same to Aim Target,Attack,Damage,200% AD,—,—,Once,—
Twitch,2 Gold,Marksman,AD,Punk,,Executioner,,4,Shard-Bottle Executioner,"Throw a bottle at the current target, which deals 250/250/250% Attack Damage physical damage to enemies within 1 hex. It explodes into 4/4/4 shards; each dealing 35/50/80% Ability Power magic damage to a random enemy within 2 hexes. Each enemy critically struck by the bottle creates 1/1/1 more shard.",1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,250/250/250% AD,—,—,Once,—
,,,,,,,,,,,3,Active,After Step 2,—,Step 1 Projectile,Homing Projectile,Random (2 hex of Current),default,default,4,4/4/4,—,At Once,—,Same to Aim Target,Attack,Damage,35/50/80% AP,Stacking,+1/1/1 shard per enemy critically struck by the bottle,Once,—
Olaf,1 Gold,Fighter,AD,Pentakill,,Bruiser,,1,Missing-Health Bruiser,"Passive: Heal 20/25/35% Ability Power Health on attack. For every 1% missing Health, gain bonus Attack Speed that scales with max Health.",0.1,Passive,On Attack,—,Self,Bonus on AA,Current,—,—,1,—,—,—,—,Self,Buff,Heal,20/25/35% AP,—,—,Once,—
,,,,,,,,,,,0.2,Passive,Game Start,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Attack Speed,0.15% max HP,Per Stack,per 1% missing Health,Once,Permanent
Gnar,2 Gold,Fighter,AD,Pentakill,,Superfan,Mosher,2,Transforming Mosher,"Leap over the current target and transform into Mega Gnar for the rest of combat, gaining 500/550/600% Ability Power Health and 70/70/70% Attack Damage. Subsequent casts deal 335/335/335% Attack Damage physical damage to the current target.",1,Active,On Cast,If not Transformed,Self,Move Behind,Current,—,—,2,—,—,—,—,Self,Movement,(reposition),—,—,leaps over the current target,Once,—
,,,,,,,,,,,,,,If Transformed,,Cast,,,,,,,,,Same to Aim Target,Attack,Damage,335/335/335% AD,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,If not Transformed,Self,Cast,Self,—,—,2,—,—,—,—,Self,Buff,Bonus HP,500/550/600% AP,—,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AD,70/70/70%,—,—,Once,Permanent
Kayle,2 Gold,Mage,AP,Pentakill,,Edgelord,,4,Wave-Attack Edgelord,Passive: Attacks deal 35/55/80% Ability Power bonus magic damage in waves at the current target and behind them. Active: Deal 240/360/540% Ability Power magic damage to enemies around the target. Shred enemies hit for 4/4/4 seconds. Shred: Reduce Magic Resist by 30/30/30%.,0.1,Passive,On Attack,—,Self,Pierce Projectile,Current,default,Box 1x2,4,1,—,—,—,Enemies in path,Attack,Damage,35/55/80% AP,—,hits the target and enemies behind them,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Circle AOE,Current,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,240/360/540% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,MR,30/30/30%,—,Shred,Once,4/4/4
Mordekaiser,3 Gold,Tank,AP,Pentakill,,Sentinel,,1,Shielded Zone Sentinel,"Gain a 500/575/650% Ability Power Shield and deal 220/330/525% Ability Power magic damage to adjacent enemies over 3/3/3 seconds. Afterwards, deal 220/330/525% Ability Power magic damage to nearby enemies. When Face-Melter kills an enemy, gain 4/4/4% Ability Power and Attack Damage, and 4/4/4 Armor and Magic Resist.",0.1,Passive,On Kill,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,AP,4/4/4%,Stacking,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AD,4/4/4%,Stacking,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Armor,4/4/4,Stacking,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,MR,4/4/4,Stacking,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Shield,500/575/650% AP,—,—,Once,—
,,,,,,,,,,,2,Active,On Cast,—,Self,Zone AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,220/330/525% AP,Per Tick,total over the duration,Every 1s,3/3/3
,,,,,,,,,,,3,Active,On Cast Expire,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,220/330/525% AP,—,—,Once,—
Karthus,4 Gold,Mage,AP,Pentakill,,Executioner,,4,Crit-Scaling Executioner,"Passive: Gain Ability Power based on Critical Strike Chance (scales with Critical Strike Chance). Active: Deal 270/405/900% Ability Power magic damage to the 4/4/6 lowest Health enemies, always critically striking if possible. Gain 40% Ability Power for the rest of combat.",0.1,Passive,Game Start,—,Self,Cast,Self,—,—,4,—,—,—,—,Self,Buff,AP,unknown,Derived,of Critical Strike Chance,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,4/4/6 lowest-HP enemies,—,—,4,4/4/6,—,At Once,—,Same to Aim Target,Attack,Damage,270/405/900% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Crit Chance,100%,—,always crits if possible,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Cast,Self,—,—,4,—,—,—,—,Self,Buff,AP,40%,—,—,Once,Permanent
Viego,4 Gold,Fighter,AD,Pentakill,,Edgelord,,1,Mark-Amplifying Edgelord,Slam on a nearby hex. Deal 225/225/450% Attack Damage physical damage to enemies within two hexes and mark them for 5/5/5 seconds. Marked enemies take 10/10/10% increased damage from all sources. Viego's attacks on marked enemies deal 10/10/10% Attack Damage physical damage instead.,0.1,Passive,On Attack,If Target Marked,Self,Bonus on AA,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,10/10/10% AD,—,replaces the normal attack damage,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Circle AOE,Current,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Attack,Damage,225/225/450% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Mark,—,—,—,Once,5/5/5
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,Damage Amplification,10/10/10%,—,from all sources,Once,5/5/5
Yorick,5 Gold,Fighter,AD,Pentakill,,Mosher,Guardian,1,Ghoul-Horde Mosher,Summon 9/10/25 headbanging ghouls that pile towards the center of the board. Each deals 150/150/1000% Attack Damage physical damage over three attacks. Ghouls' damage 20% Sunders for 3 seconds. Every other cast also summons a BIG ghoul with 900/1750/9001% Ability Power Health that deals 250/250/2000% Attack Damage physical damage each attack. Sunder: Reduce Armor by 20%,1,Active,On Cast,—,Self,Charge Summon,Board centre,—,—,1,9/10/25,—,At Once,—,—,Summon,(summon),—,—,headbanging ghouls,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Step 1 Summon,Summon Attack,Nearest enemy,default,default,1,3,—,Consecutive,—,Same to Aim Target,Attack,Damage,150/150/1000% AD,—,total over three attacks,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,DEF,20%,—,Sunder,Once,3
,,,,,,,,,,,3,Active,On 2nd Cast,—,Self,Hero Summon,Board centre,—,—,1,1,—,—,—,—,Summon,(summon),900/1750/9001% AP HP,—,the BIG ghoul,Once,—
,,,,,,,,,,,4,Active,After Step 3,—,Step 3 Summon,Summon Attack,Nearest enemy,default,default,1,1,—,—,—,Same to Aim Target,Attack,Damage,250/250/2000% AD,—,each attack,Once,—
Kennen,1 Gold,Tank,AP,True Damage,,Superfan,Guardian,2,Random-Jolt Guardian,Discharge 2/2/2 Jolts over 2/2/2 seconds. Each Jolt deals 145/215/325% Ability Power magic damage to a random enemy within range and Stuns them for 0.75/0.75/0.75 seconds.,1,Active,On Cast,—,Self,Cast,Random enemy in range,—,—,2,2/2/2,—,Consecutive,—,Same to Aim Target,Attack,Damage,145/215/325% AP,—,2/2/2 Jolts discharged over 2/2/2 seconds,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,0.75/0.75/0.75
Yasuo,1 Gold,Fighter,AD,True Damage,,Edgelord,,1,Kill-Stacking Edgelord,Passive: Yasuo permanently gains 1.5% Attack Damage when he kills an enemy champion (doubled in Hyper Roll). Active: Deal 280% Attack Damage physical damage to the current target.,0.1,Passive,On Kill,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,AD,1.5%,Stacking,doubled in Hyper Roll,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,280% AD,—,—,Once,—
Senna,2 Gold,Mage,AP,True Damage,,Rapidfire,,5,Pulsing-Blast Rapidfire,"Fire a blast of sound at the current target's location. It pulses 3/3/3 times, each dealing 105/155/225% Ability Power magic damage to enemies within 1/1/1 hex.",1,Active,On Cast,—,Self,Circle AOE,Current,centred,Circle 1 hex,5,3/3/3,—,Consecutive,—,Enemies in area,Attack,Damage,105/155/225% AP,—,per pulse,Once,—
Ekko,3 Gold,Tank,AP,True Damage,,Spellweaver,Sentinel,1,Stun-and-Shield Sentinel,Deal 60/90/145% Ability Power magic damage to enemies within 2 hexes and Stun them for 1/1/1 seconds. Gain a 400/450/550% Ability Power Health shield for 4/4/4 seconds.,1,Active,On Cast,—,Self,Circle AOE,Self,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Attack,Damage,60/90/145% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Stun,—,—,—,Once,1/1/1
,,,,,,,,,,,2,Active,After Step 1,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Shield,400/450/550% AP,—,—,Once,4/4/4
Jhin,5 Gold,Marksman,AD,Maestro,,Big Shot,,4,Bench-Rifle Maestro,"Passive: Attacks generate 10/10/10 additional Mana. If your bench has 4/4/4 Grand Finale Rifles, begin conducting instead of attacking. Each Rifle fires at the same rate as the Maestro and deals 60/60/444% Attack Damage physical damage. Every 4th volley deals 200/200/200% damage. Active: Put 1/1/4 Grand Finale Rifle into one of your empty bench slots.",0.1,Passive,On Attack,—,Self,Bonus on AA,Current,—,—,4,—,—,—,—,Self,Buff,Mana,10/10/10,—,—,Once,—
,,,,,,,,,,,0.2,Passive,On Attack,If 4 Rifles on bench,Summon,Summon Attack,Current,default,default,4,4/4/4,—,At Once,—,Same to Aim Target,Attack,Damage,60/60/444% AD,—,each Rifle fires at the Maestro's attack rate; he conducts instead of attacking,Once,—
,,,,,,,,,,,0.3,Passive,On 4th Cast,If 4 Rifles on bench,Summon,Summon Attack,Current,default,default,4,4/4/4,—,At Once,—,Same to Aim Target,Attack,Damage,200/200/200%,Derived,of the Rifle volley damage — every 4th volley,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Static Summon,Bench slot,—,—,4,1/1/4,—,—,—,—,Summon,(summon),—,—,"a Grand Finale Rifle, into an empty bench slot",Once,—
Qiyana,5 Gold,Fighter,AD,True Damage,,Crowd Diver,,1,Item-Stealing Crowd Diver,"Copy 1 of the current target's items and throw them to an ally. Deal 470/470/1000% Attack Damage physical damage and knock them back. If the target had no items, deal 200% Attack Damage plus 60/60/500% Ability Power additional true damage and knock them back to the edge of the board instead.",1,Active,On Cast,If Target Has Items,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,470/470/1000% AD,—,—,Once,—
,,,,,,,,,,,,,,If Target Has No Items,,,,,,,,,,,Same to Aim Target,Attack,Damage,200% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Attack,True Damage,60/60/500% AP,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,If Target Has Items,Self,Cast,Nearest ally,—,—,1,—,—,—,—,Same to Aim Target,Buff,Item,1 copied item,—,copied from the enemy Qiyana hit,Once,Permanent
,,,,,,,,,,,3,Active,After Step 1,If Target Has Items,Self,Knock Back,Current,—,—,1,—,—,—,—,Same to Aim Target,Movement,(reposition),—,—,knocked back,Once,—
,,,,,,,,,,,,,,If Target Has No Items,,,,,,,,,,,Same to Aim Target,Movement,(reposition),—,—,knocked back to the edge of the board,Once,—
Sona,5 Gold,Mage,AP,Mixmaster,,Spellweaver,,16,Ally-Beat Spellweaver,"Passive: Attacks instead send a beat to an ally, healing them for 5/8/100% of their maximum Health. Active: Send a beat to all allies and grant them a 350/550/3333% Ability Power Shield for 2/2/30 seconds.",0.1,Passive,On Attack,—,Self,Homing Projectile,Lowest-HP Ally,default,default,16,1,—,—,—,Same to Aim Target,Buff,Heal,5/8/100% of their max HP,—,attacks send a beat to an ally instead of striking an enemy,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,16,—,—,—,—,All allies,Buff,Shield,350/550/3333% AP,—,—,Once,2/2/30
